7	24	4	21	7	6	4	24	12	7	20	21	7	14	3	7	9	7	7	9
14	10	7	4	21	5	9	10	13	14	15	22	14	7	4	14	20	8	14	17
24	18	6	12	24	8	11	18	23	24	8	14	19	19	1	24	19	5	18	11
12	30	1	2	12	7	1	30	24	12	11	15	17	11	2	12	17	6	11	19
13	28	8	20	10	2	20	13	16	13	18	17	13	17	7	13	8	3	17	13
8	8	3	14	8	1	14	12	9	8	12	18	10	8	8	8	13	4	10	21
1	17	2	22	1	4	22	15	19	1	10	10	1	2	5	1	18	1	1	15
6	6	5	16	6	3	15	16	20	6	3	11	16	6	6	6	5	2	22	23
17	27	12	11	17	14	2	17	6	17	27	20	18	12	11	17	1	15	19	1
20	2	15	99	5	13	16	2	21	20	7	7	6	20	12	20	15	16	6	18
21	19	14	9	14	16	3	19	22	21	4	8	21	4	9	21	22	13	4	3
4	14	9	3	4	15	23	6	1	4	6	23	20	9	10	4	14	14	21	20
5	20	16	99	23	10	21	5	2	5	21	24	5	21	15	5	6	11	20	5
2	12	11	6	11	9	6	28	17	2	17	3	2	1	16	2	12	12	2	22
18	26	10	23	18	12	8	7	18	18	2	4	23	29	13	18	10	9	25	7
19	25	13	8	19	11	10	8	5	19	19	19	8	18	14	19	30	10	24	24
9	7	20	99	9	22	99	9	14	9	14	5	4	5	19	9	4	23	5	2
15	3	23	99	15	21	99	3	15	15	5	6	9	16	20	15	7	24	3	10
16	11	22	99	16	24	99	11	7	16	16	16	3	3	17	16	3	21	9	4
10	13	17	5	26	23	5	29	8	10	1	9	12	10	28	10	2	22	13	12
11	29	24	1	2	18	13	27	10	11	13	1	11	13	23	11	24	19	12	6
29	99	19	7	29	17	7	99	11	29	24	2	24	24	24	29	11	20	8	14
30	99	18	15	13	20	12	25	3	30	30	12	15	25	21	30	29	17	30	8
3	11	21	99	3	19	99	1	4	3	22	13	22	22	22	3	21	18	16	16
